State,color,affiliation
 AK,Red,Republican
 AL,Red,Republican
 AR,Red,Republican
 AZ,Red,Republican
 CA,Blue,Democrat
 CO,Blue,Democrat
 CT,Blue,Democrat
 DC,Blue,Democrat
 DE,Blue,Democrat
 FL,Red,Republican
 GA,Red,Republican
 HI,Blue,Democrat
 IA,Red,Republican
 ID,Red,Republican
 IL,Blue,Democrat
 IN,Red,Republican
 KS,Red,Republican
 KY,Red,Republican
 LA,Red,Republican
 MA,Blue,Democrat
 MD,Blue,Democrat
 ME,Blue,Democrat
 MI,Red,Republican
 MN,Blue,Democrat
 MO,Red,Republican
 MS,Red,Republican
 MT,Red,Republican
 NC,Red,Republican
 ND,Red,Republican
 NE,Red,Republican
 NH,Blue,Democrat
 NJ,Blue,Democrat
 NM,Blue,Democrat
 NV,Blue,Democrat
 NY,Blue,Democrat
 OH,Red,Republican
 OK,Red,Republican
 OR,Blue,Democrat
 PA,Red,Republican
 RI,Blue,Democrat
 SC,Red,Republican
 SD,Red,Republican
 TN,Red,Republican
 TX,Red,Republican
 UT,Red,Republican
 VA,Blue,Democrat
 VT,Blue,Democrat
 WA,Blue,Democrat
 WI,Red,Republican
 WV,Red,Republican
 WY,Red,Republican
